iter	Accuracy	MultiClass
382	0.7120380289	0.7933631167
383	0.7121384574	0.7924817944
384	0.7124899572	0.7919055082
385	0.7127075522	0.791246328
386	0.7130423139	0.7906785666
387	0.713678361	0.7901112111
388	0.7140968131	0.7894839023
389	0.7139294322	0.7892303979
390	0.7138290037	0.7890989532
391	0.7141302892	0.7886107108
392	0.714280932	0.7884016179
393	0.7146659079	0.7876581531
394	0.7147495983	0.7873120513
395	0.7151178361	0.786630011
396	0.7155530262	0.78610254
397	0.7156032405	0.7856559158
398	0.715904526	0.7850682865
399	0.7161388591	0.784473034
400	0.7161388591	0.783900924
401	0.7165907874	0.7831011638
402	0.7172435726	0.7824896837
403	0.7175113819	0.7819709685
404	0.7176452866	0.7812071508
405	0.7182813337	0.7806243488
406	0.7184654526	0.7801227832
407	0.7188002142	0.779745699
408	0.7187165238	0.7795709112
409	0.7187667381	0.7789751569
410	0.7188671666	0.7783848339
411	0.7191014997	0.7777809792
412	0.7200555704	0.777227299
413	0.7203568559	0.7768046815
414	0.7206581414	0.7762952705
415	0.7211268077	0.7756734628
416	0.7217628548	0.774971736
417	0.721796331	0.7746712992
418	0.7218800214	0.7743534476
419	0.7219302357	0.7739676125
420	0.7222482592	0.7735062908
421	0.7227838779	0.772919623
422	0.7228843064	0.7724877412
423	0.7234031869	0.7719341893
424	0.7236877343	0.7713951788
425	0.7238383771	0.770887654
426	0.7239053294	0.7701267782
427	0.7242903053	0.7698877359
428	0.7240894483	0.769479618
429	0.7243237815	0.7687428885
430	0.7243907338	0.7683638686
431	0.7246920193	0.7681661795
432	0.7251774237	0.7676600231
433	0.7253615426	0.7670803586
434	0.7257799946	0.7664921183
435	0.7257465185	0.7662962235
436	0.7256293519	0.7661436695
437	0.7256963042	0.7659131789
438	0.7258804231	0.7656348038
439	0.7265164703	0.7652203348
440	0.7269516604	0.7645377237
441	0.7274035886	0.7640333685
442	0.7281735404	0.763457882
443	0.7285250402	0.7630287167
444	0.7287426352	0.7627898462
445	0.7287426352	0.7623356972
446	0.7289434922	0.7622730883
447	0.7292615158	0.761559728
448	0.7294623728	0.7609455029
449	0.7296464917	0.7603974788
450	0.7298138725	0.7601832896
451	0.7302323246	0.759528889
452	0.7302825388	0.759364032
453	0.7304833958	0.7589875218
454	0.7305670862	0.7585847942
455	0.7309520621	0.7581156232
456	0.7310692287	0.7573895738
457	0.7310692287	0.7568053379
458	0.7310524906	0.7566906314
459	0.731537895	0.7562039675
460	0.7316717997	0.7560457033
461	0.7318893948	0.7556315909
462	0.7319228709	0.7550717281
463	0.732140466	0.7544397574
464	0.7328936797	0.7540101258
465	0.7332117033	0.7538391686
466	0.7332619175	0.753439806
467	0.7335966792	0.753133355
468	0.7338310123	0.7527982718
469	0.7339983931	0.7524465652
470	0.7340486074	0.7522806248
471	0.7342996786	0.7517987477
472	0.7344001071	0.7515431318
473	0.734584226	0.7512733395
474	0.7347181307	0.7508476789
475	0.7349357258	0.750486495
476	0.7353039636	0.7502297466
477	0.7357056776	0.7492942464
478	0.7357391537	0.7487518912
479	0.7358563203	0.7485454036
480	0.7363417247	0.7479279052
481	0.7363919389	0.7474952612
482	0.7367267006	0.7471048275
483	0.7373125335	0.7463397244
484	0.7373962239	0.7459172484
485	0.737630557	0.7457513889
486	0.7379820568	0.7451151659
487	0.7380824853	0.7447674885
488	0.7380992234	0.744382714
489	0.7381996518	0.744177347
490	0.7381829138	0.7439869575
491	0.7386683182	0.7438470963
492	0.7389528656	0.7434451817
493	0.7389863417	0.7431384134
494	0.7393043653	0.7425819577
495	0.7395052223	0.7419812832
496	0.7395052223	0.741898899
497	0.7396391269	0.7415784612
498	0.7398734601	0.7411777998
499	0.7399069363	0.7409856709
500	0.7398065078	0.7407303798
501	0.7399069363	0.7404833874
502	0.7399738886	0.7402421706
503	0.740057579	0.7396295182
504	0.7403588645	0.7393397469
505	0.7404425549	0.7390403615
506	0.7408442689	0.7385997163
507	0.7408442689	0.7383280584
508	0.7413464114	0.7378307159
509	0.7414970541	0.7375034208
510	0.7417648634	0.7369470771
511	0.7419155062	0.7367953624
512	0.7423172201	0.7364173055
513	0.7424176486	0.736268015
514	0.7424678629	0.735822851
515	0.7424009106	0.7353268001
516	0.742702196	0.7349827227
517	0.7425180771	0.7347332435
518	0.7428193626	0.7341181305
519	0.74310391	0.733801626
520	0.7435391002	0.7334492603
521	0.743907338	0.7330881989
522	0.7440077665	0.7325979667
523	0.74432579	0.732364651
524	0.7440914569	0.7322204233
525	0.7441751473	0.7320456127
526	0.7444094804	0.7315267665
527	0.7445935994	0.731202223
528	0.7448111944	0.7308313759
529	0.7446772898	0.7303921647
530	0.7446772898	0.7300057128
531	0.7447609802	0.7297185314
532	0.7450287895	0.7293431225
533	0.7455644081	0.7289229329
534	0.7459661221	0.7284728755
535	0.7459995983	0.728030236
536	0.7461167649	0.7277479397
537	0.7464515265	0.7273784802
538	0.7464850027	0.7270425701
539	0.7463343599	0.7268192966
540	0.7466858597	0.7261826208
541	0.7469034547	0.7259801146
542	0.7470206213	0.7257093689
543	0.7471210498	0.7252725809
544	0.7474055972	0.7250457654
545	0.7472549545	0.7248176605
546	0.7476064542	0.7244593982
547	0.7480081682	0.7241581775
548	0.7482927156	0.7239985052
549	0.7484768345	0.7234284593
550	0.7486274772	0.7231333256
551	0.7490459293	0.7227190634
552	0.749179834	0.7226151003
553	0.7494978575	0.7222538618
554	0.7498158811	0.7221395034
555	0.7500167381	0.7216750854
556	0.7507364756	0.7212263912
557	0.751021023	0.7207579162
558	0.7511381896	0.7204362686
559	0.7515231655	0.7200970654
560	0.7517742367	0.7196583219
561	0.7516738082	0.719492884
562	0.7519750937	0.719107937
563	0.7520587841	0.7188619972
564	0.7523768077	0.718330304
565	0.7522429031	0.7181294489
566	0.7523098554	0.7178330953
567	0.7523433315	0.7176781059
568	0.7524772362	0.7173959099
569	0.7525274505	0.7171443395
570	0.752627879	0.7169067515
571	0.7528287359	0.7161593778
572	0.7533308784	0.7156549076
573	0.7537995447	0.7152101594
574	0.7541008302	0.7148205009
575	0.7544188538	0.7144301701
576	0.7544021157	0.7140873693
577	0.7545862346	0.7135776017
578	0.7548205678	0.713293094
579	0.7550549009	0.7128540028
580	0.7550549009	0.71251662
581	0.7552892341	0.7121747528
582	0.7559420193	0.7115230351
583	0.7561930905	0.7110358324
584	0.7565780664	0.710670615
585	0.7569965185	0.7100796387
586	0.7569965185	0.7097852002
587	0.7571304231	0.7094142
588	0.7573814944	0.7090158617
589	0.7573312801	0.7085023432
590	0.7575488752	0.7082542337
591	0.7577329941	0.7080563878
592	0.7577999464	0.7078052291
593	0.7579840653	0.7072277374
594	0.757917113	0.7070251762
595	0.7577832084	0.7067791936
596	0.7578668988	0.7065782474
597	0.7581012319	0.7062990502
598	0.7580844938	0.7061837473
599	0.7582686127	0.7058856423
600	0.7585531601	0.7055352099
601	0.7588544456	0.7051964736
602	0.7590553026	0.7050705526
603	0.7594402785	0.7047443566
604	0.75933985	0.7046224265
605	0.7596913498	0.7043640716
606	0.7598085163	0.7041516806
607	0.7599089448	0.7037993952
608	0.7601934922	0.7035710303
609	0.7603273969	0.7033796096
610	0.7602604446	0.7030288157
611	0.7605115158	0.7027184969
612	0.7609132298	0.7022670954
613	0.7611977772	0.7014997773
614	0.7612312533	0.7012494499
615	0.7615492769	0.7009911492
616	0.7614823246	0.700930471
617	0.761566015	0.7005850684
618	0.761566015	0.7000550281
619	0.7617166577	0.6995763988
620	0.7618840386	0.6992123936
621	0.7619844671	0.6990162544
622	0.7620012051	0.6988347274
623	0.7621351098	0.6983457138
624	0.7627042046	0.6978954418
625	0.7626874665	0.6977652602
626	0.7628548473	0.6971606321
627	0.762988752	0.6969895913
628	0.7632732994	0.6966793482
629	0.7632565613	0.6963517893
630	0.7634741564	0.6961975662
631	0.7635243706	0.6959884208
632	0.7636917515	0.6958770336
633	0.7636750134	0.6955993616
634	0.763993037	0.6950275814
635	0.7643947509	0.6945372021
636	0.764411489	0.6943223058
637	0.7644784413	0.6941116054
638	0.764612346	0.6939802535
639	0.7647462507	0.6935996762
640	0.7648968934	0.6932914272
641	0.7649805838	0.6930856057
642	0.7651312266	0.6927555161
643	0.7652986074	0.6922086675
644	0.765415774	0.6919500148
645	0.7657003214	0.6915708671
646	0.7660016069	0.6912504626
647	0.7660852973	0.6909592749
648	0.7661857258	0.6905943585
649	0.7665707017	0.6904442883
650	0.7663698447	0.6901795942
651	0.7664702732	0.6899961434
652	0.7665874397	0.6897561788
653	0.766838511	0.6894831406
654	0.7670058918	0.6891257552
655	0.7670058918	0.6888090455
656	0.7674076058	0.6883691161
657	0.7676921532	0.688109679
658	0.7679097483	0.6877052052
659	0.767859534	0.6875337941
660	0.7678762721	0.6874515855
661	0.7679934387	0.6872756682
662	0.7681608195	0.6870750931
663	0.7681942957	0.6866750348
664	0.768462105	0.6860787857
665	0.7688136047	0.6857325656
666	0.7689475094	0.6852999593
667	0.7692153187	0.6849240996
668	0.769683985	0.6844209284
669	0.7698681039	0.6841778098
670	0.7700689609	0.6838614233
671	0.7701359132	0.683701199
672	0.7701693894	0.6835519486
673	0.7703032941	0.6831224271
674	0.7708556508	0.6827583272
675	0.7711569363	0.6821719171
676	0.7713912694	0.6818509564
677	0.7714080075	0.6813655489
678	0.7716256026	0.6810915543
679	0.7717595072	0.68038855
680	0.7718097215	0.6801784998
681	0.7718766738	0.6799795521
682	0.7720942689	0.6796881349
683	0.7722114355	0.6793296971
684	0.7722783878	0.6791063854
685	0.7721779593	0.6787443723
686	0.7723955544	0.6782982608
687	0.772529459	0.6778875613
688	0.7724792448	0.6778113335
689	0.7726466256	0.6773839539
690	0.7728976968	0.6771563383
691	0.7729813873	0.6766426751
692	0.7729479111	0.6764154383
693	0.7730818157	0.6760976879
